dataset,method,seed,n_samples,end_to_end_seconds,fit_score_seconds,timing_scope,epochs,pretrain_epochs,parameter_count,peak_gpu_memory_bytes,device
Grid-Network,Shape-KNN,6144,5552,42.18537644762546,,end_to_end_job,,,,,cpu
Grid-Network,SegmentOD,42,5552,0.6145713021978736,,end_to_end_job,,,,,cpu
Grid-Network,SegmentOD,123,5552,0.8730840771459043,,end_to_end_job,,,,,cpu
Grid-Network,SegmentOD,456,5552,0.8589217071421444,,end_to_end_job,,,,,cpu
Grid-Network,SegmentOD,789,5552,0.8693108470179141,,end_to_end_job,,,,,cpu
Grid-Network,SegmentOD,1024,5552,0.7319721449166536,,end_to_end_job,,,,,cpu
Grid-Network,SegmentOD,2048,5552,0.6490191887132823,,end_to_end_job,,,,,cpu
Grid-Network,SegmentOD,3072,5552,0.5725566311739385,,end_to_end_job,,,,,cpu
Grid-Network,SegmentOD,4096,5552,0.49596473993733525,,end_to_end_job,,,,,cpu
Grid-Network,SegmentOD,5120,5552,0.7051943452097476,,end_to_end_job,,,,,cpu
Grid-Network,SegmentOD,6144,5552,0.8710741060785949,,end_to_end_job,,,,,cpu
Grid-Network,TADS,42,5552,5.9563873102888465,,end_to_end_job,,,,,cpu
Grid-Network,TADS,123,5552,4.238607167266309,,end_to_end_job,,,,,cpu
Grid-Network,TADS,456,5552,5.037599740084261,,end_to_end_job,,,,,cpu
Grid-Network,TADS,789,5552,4.804442383814603,,end_to_end_job,,,,,cpu
Grid-Network,TADS,1024,5552,5.305236374028027,,end_to_end_job,,,,,cpu
Grid-Network,TADS,2048,5552,4.5726436991244555,,end_to_end_job,,,,,cpu
Grid-Network,TADS,3072,5552,4.147260576952249,,end_to_end_job,,,,,cpu
Grid-Network,TADS,4096,5552,5.178628433961421,,end_to_end_job,,,,,cpu
Grid-Network,TADS,5120,5552,4.1556438729166985,,end_to_end_job,,,,,cpu
Grid-Network,TADS,6144,5552,4.458520913030952,,end_to_end_job,,,,,cpu
Grid-Network,Profile-TAD,42,5552,2.48350315913558,,end_to_end_job,,,,,cpu
Grid-Network,Profile-TAD,123,5552,1.585246419068426,,end_to_end_job,,,,,cpu
Grid-Network,Profile-TAD,456,5552,2.475087643135339,,end_to_end_job,,,,,cpu
Grid-Network,Profile-TAD,789,5552,1.7388873849995434,,end_to_end_job,,,,,cpu
Grid-Network,Profile-TAD,1024,5552,1.716104760300368,,end_to_end_job,,,,,cpu
Grid-Network,Profile-TAD,2048,5552,2.1122102201916277,,end_to_end_job,,,,,cpu
Grid-Network,Profile-TAD,3072,5552,2.2992300409823656,,end_to_end_job,,,,,cpu
Grid-Network,Profile-TAD,4096,5552,2.164761846885085,,end_to_end_job,,,,,cpu
Grid-Network,Profile-TAD,5120,5552,2.307658734731376,,end_to_end_job,,,,,cpu
Grid-Network,Profile-TAD,6144,5552,2.3344986769370735,,end_to_end_job,,,,,cpu
Grid-Network,LSTM-AE,42,5552,14.901368553750217,14.901368553750217,fit_score_plus_job_io; pure training and scoring are not separated,54,,208290,0,cuda:2
Grid-Network,LSTM-AE,123,5552,12.425952621269971,12.425952621269971,fit_score_plus_job_io; pure training and scoring are not separated,44,,208290,0,cuda:2
Grid-Network,LSTM-AE,456,5552,11.998386384919286,11.998386384919286,fit_score_plus_job_io; pure training and scoring are not separated,45,,208290,0,cuda:2
Grid-Network,LSTM-AE,789,5552,8.758292497135699,8.758292497135699,fit_score_plus_job_io; pure training and scoring are not separated,28,,208290,0,cuda:2
Grid-Network,LSTM-AE,1024,5552,18.494489938020706,18.494489938020706,fit_score_plus_job_io; pure training and scoring are not separated,67,,208290,0,cuda:2
Grid-Network,LSTM-AE,2048,5552,12.162527911830693,12.162527911830693,fit_score_plus_job_io; pure training and scoring are not separated,39,,208290,0,cuda:2
Grid-Network,LSTM-AE,3072,5552,11.994333697948605,11.994333697948605,fit_score_plus_job_io; pure training and scoring are not separated,45,,208290,0,cuda:2
Grid-Network,LSTM-AE,4096,5552,13.68790425406769,13.68790425406769,fit_score_plus_job_io; pure training and scoring are not separated,56,,208290,0,cuda:2
Grid-Network,LSTM-AE,5120,5552,15.415630460716784,15.415630460716784,fit_score_plus_job_io; pure training and scoring are not separated,53,,208290,0,cuda:2
Grid-Network,LSTM-AE,6144,5552,12.940377270337194,12.940377270337194,fit_score_plus_job_io; pure training and scoring are not separated,46,,208290,0,cuda:2
Grid-Network,USAD,42,5552,31.832860651426017,31.832860651426017,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,123,5552,31.747713605407625,31.747713605407625,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,456,5552,32.152743857353926,32.152743857353926,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,789,5552,31.597684055101126,31.597684055101126,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,1024,5552,29.83541127713397,29.83541127713397,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,2048,5552,30.27938750386238,30.27938750386238,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,3072,5552,28.96899181511253,28.96899181511253,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,4096,5552,29.325210012029856,29.325210012029856,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,5120,5552,30.638707648031414,30.638707648031414,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,6144,5552,31.64351741457358,31.64351741457358,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,LM-TAD,42,5552,856.4590054261498,854.0379073480144,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,123,5552,829.9280490870588,827.4735631169751,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,456,5552,758.282732241787,755.6571510271169,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,789,5552,761.8859179709107,759.3323528007604,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,1024,5552,810.5995144229382,808.2375534819439,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,2048,5552,798.7869936358184,796.6254381947219,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,3072,5552,777.9271573028527,775.4164124648087,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,4096,5552,671.6543399370275,669.059161612764,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,5120,5552,827.0265655419789,824.4778536511585,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,6144,5552,874.4746319968253,871.9764117319137,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,MST-OATD,42,5552,35.31759615102783,34.6823211829178,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Grid-Network,MST-OATD,123,5552,35.165816497057676,34.42747894814238,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Grid-Network,MST-OATD,456,5552,36.02089507924393,35.35805310215801,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Grid-Network,MST-OATD,789,5552,34.653922006022185,33.77369316201657,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
